model,video_id,frame_idx,field,matched_class,matched_term,context,detected_in_frame
qwen3vl,CLIP1_normal_assembly,15,tools_or_parts,RAM,메모리 모듈,메모리 모듈,False
qwen3vl,CLIP1_normal_assembly,19,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,20,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 장착 중,False
qwen3vl,CLIP1_normal_assembly,20,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,21,action,RAM,메모리 모듈,RAM 슬롯에 메모리 모듈을 장착 중,False
qwen3vl,CLIP1_normal_assembly,21,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,22,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,23,action,RAM,메모리 모듈,RAM 슬롯에 메모리 모듈을 장착 중,False
qwen3vl,CLIP1_normal_assembly,23,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,24,action,RAM,메모리 모듈,RAM 슬롯에 메모리 모듈을 장착 중,False
qwen3vl,CLIP1_normal_assembly,24,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,25,tools_or_parts,RAM_slot,RAM 슬롯,RAM 슬롯,False
qwen3vl,CLIP1_normal_assembly,26,action,RAM_slot,RAM 슬롯,메인보드의 RAM 슬롯에 손가락으로 압박하여 메모리 장착 중,False
qwen3vl,CLIP1_normal_assembly,26,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,3,action,hand,손,"작업자 손이 테이블 위의 검은색 부품 위에 놓여 있으며, 부품을 누르거나 조작하는 동작 중",False
qwen3vl,CLIP1_normal_assembly,3,tools_or_parts,hand,손,작업자 손,False
qwen3vl,CLIP1_normal_assembly,32,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,35,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 장착 중,False
qwen3vl,CLIP1_normal_assembly,35,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,36,tools_or_parts,RAM_slot,RAM 슬롯,RAM 슬롯,False
qwen3vl,CLIP1_normal_assembly,37,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 장착 중,False
qwen3vl,CLIP1_normal_assembly,37,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,38,tools_or_parts,RAM_slot,RAM 슬롯,RAM 슬롯,False
qwen3vl,CLIP1_normal_assembly,41,action,GPU,GPU,GPU 카드를 케이스에 장착 중,False
qwen3vl,CLIP1_normal_assembly,41,tools_or_parts,GPU,GPU,GEFORCE RTX GPU 카드,False
qwen3vl,CLIP1_normal_assembly,42,action,GPU,GPU,GPU를 케이스에 장착 중,False
qwen3vl,CLIP1_normal_assembly,42,tools_or_parts,GPU,GPU,GPU,False
