model,video_id,frame_idx,field,term,full_text
qwen3vl,CLIP1_normal_assembly,15,action,메모리,RAM 슬롯에 메모리 장착 중
qwen3vl,CLIP1_normal_assembly,18,tools_or_parts,모듈,카드형 칩셋/컨트롤러 모듈
qwen3vl,CLIP1_normal_assembly,19,action,메모리,RAM 슬롯에 메모리 장착 중
qwen3vl,CLIP1_normal_assembly,22,action,메모리,RAM 슬롯에 손가락으로 압박하여 메모리 장착 중
qwen3vl,CLIP1_normal_assembly,26,action,메모리,메인보드의 RAM 슬롯에 손가락으로 압박하여 메모리 장착 중
qwen3vl,CLIP1_normal_assembly,28,tools_or_parts,모듈,모듈
qwen3vl,CLIP1_normal_assembly,36,tools_or_parts,모듈,모듈
qwen3vl,CLIP1_normal_assembly,38,tools_or_parts,모듈,컴퓨터 케이스 내부의 모듈
qwen3vl,CLIP1_normal_assembly,39,action,모듈,모듈(하드웨어 부품)을 마더보드에 장착 중
qwen3vl,CLIP1_normal_assembly,39,tools_or_parts,모듈,하드웨어 모듈
qwen3vl,CLIP1_normal_assembly,40,action,모듈,모듈(보드)을 손으로 들어 올리는 동작
qwen3vl,CLIP1_normal_assembly,40,tools_or_parts,모듈,모듈(보드)
qwen3vl,CLIP1_normal_assembly,48,action,모듈,서버 내부의 케이블 또는 모듈을 조작 중
qwen3vl,CLIP1_normal_assembly,48,tools_or_parts,모듈,모듈/케이블
qwen3vl,CLIP1_normal_assembly,51,action,메모리,RAM 모듈을 서버 내 메모리 슬롯에 장착 중
qwen3vl,CLIP1_normal_assembly,51,tools_or_parts,메모리,서버 내 메모리 슬롯
qwen3vl,CLIP1_normal_assembly,63,action,모듈,모듈(또는 케이블)을 장착 중인 손동작
qwen3vl,CLIP1_normal_assembly,63,tools_or_parts,모듈,모듈/케이블
qwen3vl,CLIP1_normal_assembly,70,action,모듈,모듈(하드웨어 부품)을 장착 중
qwen3vl,CLIP1_normal_assembly,76,action,모듈,모듈(케이블 또는 부품)을 장착 중
qwen3vl,CLIP1_normal_assembly,76,tools_or_parts,모듈,모듈(부품)
internvl35,CLIP1_normal_assembly,11,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,12,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,13,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,14,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,15,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,18,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,19,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,22,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,23,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,24,tools_or_parts,메모리,메모리
internvl35,CLIP1_normal_assembly,28,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,30,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,31,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,32,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,33,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,34,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,35,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,36,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,37,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,40,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,41,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,42,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,43,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,44,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,45,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,46,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,47,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,48,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,49,action,메모리,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,50,action,메모리,RAM 슬롯에 메모리 장착
